country,obesity,PPC,KCAL ,div,poverty,consumption,popdens,OECD
Algeria,23.5,13760.92,3229.4,42,7.72,43.09,16.41617347,0
Angola,9.1,7340.7,2200.8,39.2,54.516,50.45,21.60707853,0
Argentina,24.7,21893.08,3017.4,66,3.63,33.17,15.70388857,0
Australia,27,44167.94,3255.8,74.8,0,10.05024461,3.05778496,1
Austria,17.4,45358.62,3797.4,73,0,9.937616611,103.7567551,1
Azerbaijan,20.6,16833.76,3001.8,35.8,0,41.43793162,115.3014892,0
Bahrain,33.5,46234.38,3126.6,47,0,14.204,1751.607761,0
Bangladesh,3.2,2953.62,2424.6,19.6,77.608,53.81,1224.331367,0
Belarus,22,17670.2,3204.8,61,0.026,37.69522455,46.71642896,0
Belgium,19.3,41989.3,3744.4,72.2,0,12.75089839,370.7582034,1
Benin,8.5,1933.28,2581,28.6,75.624,45.4,91.28870699,0
Bolivia,16,6096.84,2183.2,47.2,14.118,27.365,9.750579526,0
Botswana,20.6,16214.54,2232.4,51.2,35.732,21.84,3.827519983,0
Brazil,18.7,15985.2,3201.8,65.2,9.574,25.1,24.4264327,0
Bulgaria,22,16396.9,2820.4,59.2,4.692,18.62964262,66.50838983,0
Burkina Faso,5.7,1573.4,2669.2,30.4,80.476,57.12873481,64.31796272,0
Burundi,2.2,732.52,1635.4,50,92.182,45.37,385.7871729,0
Cambodia,2.7,3046.32,2370.8,26.4,31.836,44.775,86.50617834,0
Cameroon,10.4,2845.28,2471,43.4,54.276,47.41468017,47.06975228,0
Canada,26.7,43244.92,3433.6,71.8,0,9.392954347,3.904661236,1
Chad,7.5,2066.08,2075,33.8,64.816,46.18,10.77987897,0
Chile,26.3,21732.62,2942.8,55.8,2.404,16.33314638,23.68666339,1
China,5.9,12400,3047,46.8,24.602,28.74,145.3361029,0
Colombia,19.8,12685.6,2703.2,61.2,14.578,18.02341528,43.06416999,0
Congo (Dem. Rep.),4,751.72,2021.4,54.6,91.948,35,32.54893778,0
Costa Rica,22.9,14322.5,2881.6,66.4,4.008,21.4,93.15794751,0
Cote d’Ivoire,8.4,3222.8,2689.6,33.6,55.132,24.75,70.89349434,0
Czech Republic,25.9,29673.24,3290.8,68.4,0,15.03983175,136.3967996,1
Denmark,18.3,44575.64,3379.6,71.6,0,11.25422672,134.4348954,1
Dominican Republic,22.2,12594.66,2497.6,68,9.512,24.94709843,215.3561374,0
Ecuador,17.6,11254.84,2357.8,64.4,12.678,24.57,64.0310525,0
Egypt,27.3,11711.26,3401.4,34.2,22,39.92,92.19952966,0
El Salvador,20.7,7767.98,2552.8,52.4,12.642,26.28,303.189305,0
Ethiopia,3.6,1383.1,2082,23,71.276,51.2011311,97.394982,0
Finland,19.6,40307.5,3254.2,68.2,0,12.44288821,17.95974096,1
France,22.8,39776.48,3528.4,71,0,13.16724505,121.0856928,1
